Rating,Comment
5,"Mane Thindi & Cake shop seems to  belong to the same owner as they have the same bags & packing etc.  I would avoid the cake shop but the south indian snacks at tiffin center mane thindi next doors are really good. He serves Dosas, Idli, Vada, Shira, chappatis & other stuff which lots of people come to have. Most importantly the snacks are priced quite right here and don't seem like most other tiffin centers in Bangalore where they want  to make tons of profit these days. Coffee is pretty good too. Give it a try sometime, I don't think you will be disappointed."
4.5,Most of the flavors of  cakes are quite mouth watering. This is one of the best places I've found in Bangalore for Cakes. Of course their puffs (specifically the paneer puff) and other bakery items are quite tasty. Its a place not to be missed incase you love cakes.
3.5,Simple n clean.....good taste ...
4,I tried all kind of pastries. Each and every pastry have unique taste and value for money.
4.5,"One of the best pastry shops among its range in south Bangalore.Every time you reach the shop, you will be surprised to see a new variety of special cake available to meet your taste buds with yummy cakes."
3.5,"Situated in the main ring road,., beside mane thindi,.. katriggupe.. this is a decent bakery outlet..I haven't taken any cakes home so far but I have tried the veg puff, palya bun ,salt biscuits, vanilla pastry and some butter biscuits.. They are neat and decent ,Fresh most important !These bakeries are no less than your Butter sponge and VB and saves the efforts to travel until those famous bakeriesIf you are in the mood for some bread toasts,buns,pastries,biscuits, rolls... u can surely take some time to visit this place"
4,BEST SHAWARMA EVER!the shawarma plate here is totally worth the money.(mayonnaise is amazing)Chicken grill is nice and spicy!Their biryani rice is also worth the money.Easy on the pocket also :)
5,We had grilled chicken here. The quantity is worth the price that you pay. Best and fresh quality chicken served. If you are in town and want to have good non-vegetarian food and care less about the place to sit then this place is a must visit?
4,One of the nicest places for non vegetarian food around Jayanagar. The barbeque tandoor chicken was really nice and spicy. The broast chicken was really crispy and delicious. They add some extra masala on the top of the chicken to give it a spicy taste. The Mayo served with barbeque chicken is the perfect thing to compliment the spicy barbeque chicken. You need to have them hot once they are served as they usually they tend to dry once it becomes cold. Overall a great experience !
4,"This outlet is close to my office and the other outlet in Rt Nagar is close to my residence. Both the outlets have provided some mouth watering tasty dishes,the stand out among them are the shawarma roll n plate. Biryani combo is also great. Overall it is a place where you get to eat to the fullest and it provides justice to the money spent."
4,Giving 4 stars just for their shawarma which has been my fav since the 90s. Along with the chicken shawarma ordered a parotta with half grilled chicken. The grill chicken was a lil dry - not impressed
4,"Located near Lalbagh west gate, the place is a hidden jewel. It's spacious, stuff is courteous and best part is their cuisine. Oh the quality of kebab is just mind-blowing. We had tandoor & grilled chicken. Those were served with mayonnaise bowls. Both of them tasted delicious. We also ordered grape juice, which had grapes floating in it. The price is also very reasonable. I wonder how a place like this is in a costly city like Bengaluru.My only request is bring this franchise to Kolkata. You won't regret, as Bengalis are the connoisseur of good food."
4,I ordered the biryani from here. It was good in the taste and quantity was in more and quality was also good. The biryani was good and the price was also less. If you are hungry at night by 11 pm or 11:30 pm you can order quickly. Biryani was the bestseller of them. Thank you!
1,Worst experience.. no courtesy to even call and tell they cannot deliver.. after one hour through Zomato chat I am told itÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâs still being prepared after me asking them.. y do u accept orders in the first place when u canÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåât deliver.. this is one place I would never ever want to look at for dining or delivery..
3,The delivery was quick and the food was fine. The size of the rolls should be reworked on as they are extremely small. The Gobi Manchurian should be made a bit less spicy for people like me.
3.5,The place is good. The food is tasty. The grapes juice is the best part of it. Don't forget to try it for once atleast. Overall the place is average.
3,Dish :1. Barbeque chickenTaste : 2/52. Tandoori chickenTaste : 4/53. Rose milk ( Must try)Taste : 5/5Place : Kabab Magic ( RV road Basavanagudi)Ambience : 3.5 / 5Service : 4/5Value for money : 3. 5/5I ve been visited the place for a couple of times as of now.... I mainly go to have their rose milk... It is one of the best i must say.... Barbeque chicken was one of the worst i ve tried their... Tandoori chicken tasted really good with right amount of spices n was served with green mint chutney.... Ambience was good but nothing great... Service was quick n good too.... N i also feel it is worth the money for the quantity .. You can visit this place if you love muslim style cuisine ...? ?
4,Quite a cosy & small joint but defi someplace to look out for... All variants are amazing n piping hot & delicious . Quite a buzzing place in d heart of locality
2,"After a long thought decided to head to this place to try out their food. Decided to have avalakki n I think one of the decisions i made which will make me regret for a long time. It was dry n without the chutney it just wouldn't go down well. Not that chutneys were great. Overall it was below average. Not the one to be let down n disappointed, tried their kharabath. If not for kharabath my rating of this place would be a point lesser than what I've rated now. Not that the taste of kharabath was out of the world. But it certainly was better. Only thing I didn't like in kharabath was that it was too oily. Not a good one from health stand point. Nevertheless not that I have it everyday. Will you regret if you miss having food in this place????? U certainly wouldn't. Trust me, you will find much better places which will not make u regret."
3,"Had been to Brahmins for a Sunday breakfast. A small shop that you can easily miss if not for the small crowd outside waiting for their turn. No seating and very little space inside even to stand. It opens very early at around 6 in the morning.But nobody really cares as the melt in the mouth thatte idlis more than make up for it. Soft, silky and buttery , it goes perfectly with the tangy chutneys, tomato and the regular coconut. We also tried the podi butter Idli which is thatte Idli smeared with butter and gunpowder. The podi was different in taste than what IÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâve had earlier, with a distinct tanginess to it. The udad vada though was average.Tea and coffee were routine and good.All in all a decent place for a quick breakfast.parkstreet19.wordpress.com"
4,An ideal breakfast spot in jayanagar. One of the best thatte idly I have had. The taste is good as always. But they need to improve on the service. Green chutney was out of stock. Over all a good place.
5,"A perfect restaurant to have the best of thatte idle specially in and around jayanagar. The soft and spongy idle served with butter makes it one of the ideal and must have breakfast spot.Must try: pudi butter idle, khara bath and vade#rajeshwrites"
5,Has a really calm roof top.Staff delegate customers with kindness and are really attentive .Menu holds a lot in place with wide variety of cuisine.Good for groups of upto 4Not family friendly.Beer on a hot day tastes good with complementing dishes.Easy get away place for KIMS students.Overall 4dot5 stars
5,one of the best place to hangout.. I oftenly hangout with my friends here... They serve beer and mocktails... The variety of steaks and egg based pizzas is amazing and the rooftop ambience is crazy... On a chilled night you ever want to have beer do visit this place ?
3,"The photos on Zomato and reviews mislead! Nothing great about the place. A decayed roof top, below average food and lazy service. I see a lot of student groups probably very regular here and the staff is very friendly with them. Congested, crowded and a bit unhygienic."
3,"This place has great food, good place to hang out with friends. It is situated right opposite to KIMS. They have a rooftop as well as indoor seating. I especially loved the gustoes legendary pizza here. The nachos are great too, with superb toppings. The veggie pizza and the penne Alfredo pasta could have been better. The mocktails were just about average"
5,"Had been here with friends after celebrating ethnic day in college! It was kinda we don't care what other's think when we are with friends attitude. Since all of us were looking like bride and groom. The food here was great, especially the grilled fish steak! Being a fish luvr i really enjoyed it. Being the only person whi doesn't booze in group had settled for watermelon fizzy Mocktail and it was gud. The roof top Ambience here is beautiful!"
3,Food : 2/5 || Ambience : 3/5 || Value for money : 3/5 || Service : 3/5Menu is so big and they have not perfected in any one of them except for fries. Food is acceptable and not really appetizing. Smoking and non smoking area is not seperated.The only good things about this place is beer and french fries. That's the max you can go.Recommendations : Average
3.5,"Location:Right opposite KIMS college in Banashankari.Ambience:The place has a local vibe and is filled with the localites. Not a very comforting place for women to hang about. But the food is worth it.Food:Ordered-Kung Pao ChickenMurgh Beer House TikkaPanneer Sofiyan TikkaWell cooked and flavoured chicken. The King Pao Chicken was my favourite. The peanuts added a nice touch to the chicken making it crispy and soft all at once.Usually, once you eat chicken, panneer never can never meet your expectations. However, a special mention for the paneer Tikka. The panneer was soft and definitely mouth watering. Easily a good plate to remember.Murgh Beer House Tikka was no different than any starter. Though the name stands out, the dish had no flavour or taste that stood out and made us wonder about the ingredients. But, it was tasty alneit. So, no qualms about the food here."
4,"Good place to chill out with small group of friends, not very trendy i felt. Yes i went at night tho. Well friendly staff. Food 7/10, Ambience 7/10, Service 8.5/10. Well it was slow drizzled for a wile and they dint allow me to sit in the roof top so they are carrying also lol."
3,"Have visited this place multiple times over the years.They have newly added Budweiser and St Martin craft beer to their menu. Used to only serve Kingfisher earlier.The menu is good. The pizzas are very good.They have couple of salads which are very good. Raw Mango and Papaya salad is excellent here.They seemed to have increased all there prices recently. The prices now seem a bit steep.Overall a decent place, without much competition in its locality.Worth visiting if you stay close by."
4,Descent placeDescent foodPathetic serviceLive sports screening is availableService as far concerned was the the worst part they should actually look into
1,Wanted to try cupcakes But could not reach this place. Call not reachable and maps is wrong. Please provide correct contact and address information....
5,"Amazing flavors and taste. Absolutely love the cupcakes that she makes!! Her chocolate ganache cake is to die for. Super flavors and exciting desserts, I was very happy with the cakes and cupcakes!"
5,The chocolate vanilla cake for the new born prince was just awesome n amazing with really nice flavour !! Really great in taste and great enjoy the cake !! We are glad we made it awesome n great !!! Nice n happy to be with sugar rush keep the good work going !!!! Thanks again for delicious cake
5,Yum cupcakes and amazing cakes which are beautifully designed as per the theme. Never disappointed with sugar rush. She has the capability to do any kind of bakery stuff.
4.5,This is one place where I always order because of her finishing and the taste.Nutella and chocolate being the best.Recommend others to order from her.?
5,"Home baker who promises fresh food !Understands customers needs of customisation ,And the quality of the final product is just amazing !The best part of it is that it's ALL EGGLESSFood , flavor , finish - all awesome !"
5,"Ordering cakes, cupcakes or any kind of customisation of bakery product has always been brilliant. What matters is the taste, which is very good. A good blend of all the ingredients. The finishing on fondant cakes are exceptional. Her attitude towards experimental baking is creative & thoughtful. The products used are high level and it's worth all your money. ?"
5,One of the best eggless bakers in town. Amazing finish to customised cakes. Cake loafs are a must try and nutella and double chocolate her best flavours.
5,This is the one stop shop for all your sweet cravings!From tiny cup cakes to three tired wedding cakes she's conquered it all! I call her the queen of chocolate tempering! Highly recommended! :)
5,An amazing Baker who bakes good quality cakes and varieties. She is just super in making any kind of cakes with amazing texture and finishing. The best part about her cakes is that is home made and maintains cleanliness and use all fresh items.
5,"The most yummy deserts I've ever had ! Be it a simple vanilla cake or a beautifully designed@ fondant cake, the baker has always given the best to me. Highly recommended ?"
3,Burger King is a well know place for varieties of burgers and also we can find varieties of beverages and ice-creams..Taste : 3.5 / 5 .Price : 3 / 5 .Ambiance : 4 / 5.
2,I ordered chicken whopper and large fries which came damaged with small fries only. Very disappointed with the service of Burger King and Zomato. I never expected such service from neither of the two.I don't know why brands are spoiling there name now a days.
4,The bowl itself is of qood quality ingredients.Well packed and delivered on time.Had the panner tikka bowl and the channa.Both the curry were good and itÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâs served with a good portion of basmati rice.The rice is topped with jewelled veggies and olives and tastes good.Missed the raita and felt the rice was a bit dry.Would rate it 3.5 but since there is no 0.5 marking it 4.Please see if you can some raita or pack the gravy separately.
3,"The Good Bowl was gracious enough to offer me to take part in their review program.Packaging - The packaging was good and the bowls were delivered when the food was piping hot.Taste - I had ordered for a Paneer Masala Bowl and Makai Masala Bowl.The rice used in both the bowls were same. Simple flavoured jeera rice with some ghee topped with seasoning of oregano powder,olives and some colorful capsicum. It blended really well with the curries. Paneer Masala Bowl - The curry was well flavoured, rightly spiced with great amount of paneer.Makai Masala Bowl - The curry was tangy and slightly on the sweeter side. People like me who prefer less spicy food and are in love with corn can go for this bowl. The ones who like spicy food would probably be disappointed with this one."
5,"I was searching for a new restaurant which serves a fusion of Indian and Western food.The Good Bowl promised me a simple mix of flavours and unique ingredients all in a SINGLE BOWL!I ordered a Mac n Cheese Bowl along with Mughlai Chicken Rice Bowl with Omelette to taste both the Veg and Non Veg varieties.The box was packaged well and arrived hot. The Veg Bowl with cottage Cheese was an instant hit with my team.The Omelette, and the well cooked rice was a per fact mix. Extra points for Black Olives and Jalapenos which are my personal favourite!If you want an executive meal and non messy meal with a mix of Proteins, Carbs and Fibres."
5,I ordered veg mac and cheese. Loved it .good taste and quantity. Package also good ..would like to visit the outlet and definitely I recommend my all frnd
5,Ordered veg Mac and Cheese.loved it.good taste and quantity.packaging also good..would like to visit the outlet..and definately recommend ...
5,People who are always on the hunt for biryanis with perfect spice balances must give a compulsory visit to the biryani cafe near Avalahalli BDA Park.Any spice can be felt best only if with marination and any dish which come to the table here undergoes a 4 hour marination process.The unique combination of spices makes this place very unique.Must try: Paneer fry and mint cooler#rajeshwrites
4,"I have been here once and I tried chicken Basmati biryani the taste was good close to Hyderabadi Biryani but the gravy was not good, ambiance is ok."
5,A hidden gem serving the best Donne Biryani in town. I should say this has been the best Donne Biryani I have had till date. In fact IÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâm tempted to go back and give a low rating to some of the other Donne Biryani restaurants.The Biryani Cafe Chicken Fry is an excellent starter and a very unique dish. Crispy and hard on the outside and gets soft and juicy as you bite in. Just the right amount of spicy and this starter goes well with the Pudina Juice.Donne Biryani is cooked to perfection; the rice is cooked just well and the chicken pieces are softer and juicy. A must have dish at this restaurant.The Dum Biryani was just on and I should say is not as tasty as the Donne Biryani.The ambience takes you to old Bangalore with one wall adorned with pictures of the city in the early 70ÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâs I guess. Service is great and enjoyable.
4,HavenÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåât been to the restaurant but have ordered online many timesThe Biryani is Authentic Karnataka style with the right amount of flavour and spice served that a light onion raitha they also have different variety of biryani (Basmati)My favourite are jeer rice Biryani and The egg chilliDecent pricePocket friendlyCheers to the whole team ????????
4,"I went to this place in search of kothu poratta, but when we reached they were like they donÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåât have kothu poratta, I was really disappointed and my friend told the thing , and they prepared it for us , the staffs were really good and I was happy , it was really goood , and plus damn spicy, authentic kothu poratta??Loved every bit of it , never miss out on this"
3,"Highly recommended by a friend, this cafe is situated within the streets of banashankari. The ambience is pretty decent and has a rustic tinge of the past. The food was good. I had ordered paneer special fry. The paneer was fried and roasted in butter. The taste was unexpected and completely new to me. The buttery taste with a slight sour flavor was slightly weird and nice at the same time. I would recommend this place for chicken (which my friend had) and mushroom fry, which is supposed to be delicious here."
3,Had the urge to have rolls and upon googling found this place near to where I stay! Tried it out and I will go again!! I had tava panneer roll.. The best one that I've had till date. The best one!! The taste is divine and is superb!! It's an open kitchen and one can pretty much c what's happening in there. Hygenic for sure! Very nice. The service wasn't slow as such. I got it in less than 5-10 mins of ordering it. Lot of delivery guys were there. Online delivery is a big hit I guess.. Had Veg momos too.. Not the best one. Hence the rating 3.. Was surprised to see momos being heated up in an oven. Didn't taste like momos.. Was not great.. Can easily avoid!! Nevertheless my next visit will for sure be only for rolls!! Super ones!!
3,"Good place, nice food and snacks. Friendly people and good tasting food. The prices have increased so it's not quite worth the item anymore, but once to try it out, it's not bad.The momos and rolls here are really good, what I've liked; and so are the cheese fingers."
3,Food - 8/10Service - 6/10Ambience - 7/10Cost - 6/10A small joint of rolls on wheels which serves good rolls but quite overpriced for the quality they provide. It's a clean and hygienic place. Sometimes the staff is not co-operative.
4,My go-to benne dosa place!The paddu here is a must try.The chutney here is spicy and on point.Its best to take parcel from here.The benne dosa is very tasty and the girmit is also good.
4,"Wanna have davangere best Dosa this is the place we're u can enjoy mouth watering dishes.Must try dishes are1)Benne Masala Dosa2) Girmittu3)set Dosa4) Mirchi5)flitter coffeeEnjoy hot, Crispy Dosa with butter melting on top.yummyFollow me on insta fr more such reviews -@hotte_alli_motte."
4,Sri guru kottureshwara davangere benne dosa in basavanagudi is a famous dosa point for have special dosa with North Karnataka style.Food - We had the special benne Masala dosa and surely I would say it is a go for dosa since the aloo mash is not spicy at all and goes very well with the dosa and the chutney with the dosa becomes the best combination. The chutney is spicy and very tasty. Then we had the khali dosa which was again smeared with lots of butter and again with the chutney was very good.Food - 4/5Service - SelfPrice - 4/5Happy fooding.
5,"A small outlet of davangere benne dosa at basavangudi.All the dosa are too tasty and crispy. Best was the butter kali dosa.Paddu and avalakki are also available here.Its very crowded on weekends, need to taken for your token number, but its worth waiting to taste the amazing dosa they prepare.Highly recommended if you are in Basavanagudi.#foodie #dosalovers"
4,This is one of the famous places in Basavanagudi for butter dosa and I tried open dosa it awesome and it is one the best dosa ever eat and no place to sit.
3,Dosa is good...chutney is nice...palya doesnt have onion only potato. Taste is very good.liked benne khali and benne masala dosa.Pricing is ok. Good option for south indian breakfast.
3,"Located in Netkalappa circle, this place attracts good crowd during weekends! Have been to this place more then thrice. They offer benne dose,open dose,mandakki,avlakki,bajji, paddu and idly! Open dose,benne dose and paddu are highly recommend here. No proper place to sit and hotel is too small! However you have space infront of hotel to stand and have food. Rates are decent,starting from 35-50?. Authentic coconut chathni and mashed potatoes are highlights at this place!"
4,"Stopped here before shopping for Diwali crackers. The Benne Khali Dosa, Open Dosa, and Chilli Bhajji were pretty decent. I liked the taste of their Benne/Butter."
5,"Finger licking good.The DBD is obviously the star and is a must try. Crisp, slightly sweet and fermented. With the classic white aloo mash.The paddu and mirchi bajjy are good as well. Washed down with some good filter kaapi. Authentic, stand and eat place.Do be prepared for huge crowds, esp on weekends. But they have a reasonably efficient token system. So thankfully no pushing and shoving."
4,Ambiance - 3/5Service - 3/5Taste - 4.5/5Really tasty food. It's good to have for a change once in a while. The dosas and paddu are amazing. Decent place to hog really good food at a decent price.
1,very bad deliver boy who denied to come to deliver the item in the location given . I didn't expect this from zomato . we had to go somewhere else to collecr it and he misbehaved . highly dissatisfied.
4,"Situated near bull temple,dodda ganapathy temple and bugle rock park. A very simple eat out point. North Karnataka cuisine. Extremely economical.Tasty food.?"
3,"Firstly they should pack food properly and deliver in a paper bag or any relevant, which was missing. Food was not hot and chutney was insufficient/shortage. Quantity was of Benne dosa, Khali dosa and Paddu was very less. Specially Khali dosa size was very small and not sufficient for single person."
5,Authentic BENNE DOSE (butter dosa) served with some spicey coconut chutney on the side and some mashed potatoes. All for the price of 35 rupees.Served in a small hole in the wall joint right in the heart of old Bangalore - Basavanagudi.
1,"In the food i ordered (chicken lollypop) i smelt a bad smell like old rotten oil, please don't give customers old food we have families too."
1,"The food are worst here. I suggest everybody not to order food from here. Order food online at Zomato but not from here. This is the worst food which I have taken after coming here, at Bangalore."
3,Regularly visiting this place . It's nearby for me only . One thing I don't understand is so much rate difference in the food as you could notice in the menu itself .You could enjoy biriyani and kebab here . I didn't find any other dishes tastefull to me
5,"Great food and price is also good..only problem is ambience..great for home delivery..Chicken meals, chicken kabab and other dishes taste great..must visit!!!"
3,Good Paratha curry but a bit conjusted. Near to PES University so students can have nice food here. Less costly than others. Good place and hygienic. Lots of items on menu
5,Very tasty food. Chicken meals was very tasty.. just behind pes college busstop stop outer ring road. Inside u can see dr. Rajkumar sir photo. Naati style..
5,"Great food with mid-range prices. The taste of their food is great but the service was a bit slow. It is good for business meething, couples or family night out.?"
5,Very good restaurant and perfect burger....Sandwich and snacks and veg's Sandewich.........................................................
3.5,It is a place for BIG PORTION SIZE lovers. Yes! You read it. The burgers are huge. You may have a wrong impression to see the price on the menu. But when you see the burger that's when you realise it is worth it! I have tried most of the things on their menu and they stand true to their description. Amazing Iranian flavour makes you to go back to the place again and again.Don't go by he looks of the place. They really know what their customers love. And they take good care of it.
5,Tasty burgurs and nice french fries ???it is Persian style and non spicy foodsI suggest u to test kolbeh burgerIt's only place to have big and good burger in banashankari
5,"the best sandwiches and burgers you can get in bangalore , the most tasties and filling , incredibly delicious and extremely worth the price"
5,very big sandewich and burger I enjoy it?Burger is best...In Banashnakari only place have such big and delusion lamp burgerI suggest u to try once
2,"Hi,We had masala puri, sev puri and mix chats at this restaurant recently. I must say the taste of mix chat at around 8-10 yrs back was amazing and i would always request my parents to take me to this hotel and get me a mix chats because that was something unique at that time. But now the taste of all the chats were not at all good. It is a self service restaurant and the service was quick. There is also some place to sit and have your food. Parking shouldn't be a problem for a two wheeler."
4.5,"Upahar sagar is always a nice place to savour South Indian cuisines and a recommended one when you are nearby. They have got an open kitchen where you could see how are they preparing your food. The ambiance is quite okay. And apart from the south Indian cuisines they have got a other varied dishes and beverages.We had been there for a quick breakfast, and ordered for bisi bele bath and chow chow bath which turned out to be good. The service is quite fast when uncrowded."
4,"I'm a regular visitor to this place.It's my go to place for any fast grab meal.Their north Indian dishes are very tasty. Chats are also delicious.Their south Indian dishes, dosas are very crispy and tasty.I have literally tried everything on their menu.If you're in a hurry and ready to compromise on extremely good ambience for tasty food, pocket friendly this is the place to go to."
5,My all time instant visit place. The only place I've not got bored visiting though I go daily. And all the items here are so tastey yummy. One should not miss to visit to taste best flavors of each dish
4,This place is close to my office about 5 to 10 Min walk.I Have been here many times for lunch. And few times for breakfast. Masala dosa here is crispy and yummy.So this time i wanted to try something different during lunch.my friend suggested to try triple fried rice here and Luckily i saw triple fried rice on the Menu board and ordered it.It was yummy. It is combination of noodles and fried rice.However noodles will be thin and crispy. For every spoon you get crispy noodles which i liked it pretty much. They don't accept cards and little crowded during lunch time. It is Pocket friendly.recommended for casual breakfast and lunch.
4.5,This has been among one of the earliest eateries (initially known as the darshinis) in banashankari. Foodwise good and has been my go to place for breakfast and sometimes for lunch and dinner. Masala dosa is good and is crispy. Usually I take paneer tikka Masala and kulcha and is good as well.All in all a great place to have a quick eat and not heavy on the pocket as well.
1,"1)If you're looking to dine for a special occasion, this is not your place.2) It's self service system.3)Food is satisfactory ( I mean good, but not that good).4) Hotel staff not that great(Now the worst on Oct-17). Some of them just have a lot of attitude.5) Cons: Don't accept cash cards.6) Had a bad experience over here one time.I had asked for a Raitha because I ordered Veg Biryani, they had a very unpleasant attitude. At last they denied of giving me one, saying Raitha doesn't come with a Biryani here."
4,"I have been going to this place for like 5-6 days, actually I have started working nearby. So it's the only good food outlet in that area. I have tried many dishes basically puri (3 in no.) with South Indian chutney and cheese sandwich. I have tried rava dosa. Also orange juice and sweet lime soda. Food is really good and fairly priced. Basically you will find only corporate people around during lunch hours.Serve time is very fast. You have to take the bill first and food later. They have self service. Sitting facilities are properly provided. But during rush hours, people also stand outside near trees and tables kept.Overall good place."
4.5,"I stay very close to this restaurant.Whenever there is no cooked food at home,this will be at our top list for hotel food.Its has very good food with reasonable rates.Earlier many food items taste had to be improved wherein now,it is really doing good with food supply and quality.Its a self service jotel with ample seating facility.At noon,it will be so crowded as South and North Indian meals are available at very low cost with awesome quality.It Indeed fills anyone's stomach rather opting for a fine line restaurant.I love this place for Madila Dosa !!! And yes Dal fry tastes good here.Jeera rice too !!!! Many to pen down.An overall good place for foodies who stay nearby KR Road :)"
3,"As this is located very near to my office, we often used to go here for lunch or snacks.Place is ok when you don't have much options, Not so great food.Food: 3.0Ambiance: 3.0Service: Self service :)"
3,"This place used to serve amazing food earlier. However now the quality has come down a lil. Anyway, still worth visiting for a quick bite with a reasonable price."
3.5,Upahara Sagar is just down the road and the restaurant is perfect for Idli and vada. Especially the vada here is very crispy and handful. Their chutney is really authentic and so is sambar compared to other restaurants.  Other food in the menu is also good but nothing extra ordinary.
3,"A typical darshini style restaurant in KR road. The menu covers a variety of dishes and everything is just above average and not the best. Their Jeera rice is good , otherwise an average hotel. Can have once in a while..."
3,"Have not been here several times. Ordered a rava dosa once late evening, and it was pathetically oily. There was oil dripping from the dosa, and it did not taste or look like a rava dosa either. My friend who had some special stuffed dosa from the dosa counter in the front had a better experience."
4,"What do i say about this place?1. Its near by my office(0.5 km). Its more or less like a lunch out place for me.2. Its basically on the KR road, near the shastry bakery signal.Mind you, its heavily crowded place(especially during the lunch hours). The biryani, fried rice, gobi manchuri over here is good. The desserts there are quite yum. I love the north indian thali which gives you soup, cups of rice, curd rice, 3 curries, 2 rotis/kulchas, fruit salad, gulab jamun(one of the best), tomato soup for 90 bucks! and the taste doesn't disappoint you :)Comparatively small place, service is ok(you have to wait when the place is crowded and you dont get your orders on time), worth visiting 'n' number of times where 'n' is a very large number! :)Service: 3/5Food: 4.5/5Ambiance: 3.5/5"
3,One of the few darshini in the long stretch of KR road.....after Krishna grand this is the only other restaurant serving south Indian food ...in this stretch of the road......its an old restaurant with lot of management changes......the current management seems pretty decent......they are serving pretty good quality of food with some interesting combo offers too......prices are quite low .......there isn't much of an ambience ....its a self service restaurant.......if your looking for a darshini that is cheap and serves good quality of food in this KR road stretch u can definitely visit this place........
3,This hotel has been there since as long as I can remember.  I used to come here when I was a little kid. The management has changed since.This is a self service darshini type hotel with seating arrangements. The waiters serve the food to car parking space right in front of this hotel where people sit inside their cars and enjoy the food.I usually order Either North Indian or Indo-Chinese dishes from here. All the dishes here are above average and pocket friendly. Chats and jucies are pretty average and nothing exceptional. They have started 99 variety dose stall a few days ago. I will try them and update the review ASAP.
3.5,"Have been regular to this place from the time they started, This place is situated opposite to shastry's bakery, On KR Road..PARKING: Parking will not be a problem since they have space to accommodate few bikes and cars.AMBIENCE: This place is a single floor setup with stand and eat, with a few tables and chairs as well as car service option... Place is clean..FOOD: They provide south Indian, north Indian and Chinese dishes along with chats and juice. In particular south indian breakfast items, Rotis and curries are pretty good..Food is decent.. They have combos too..SERVICE & COST: Service is quick and dishes are reasonably priced.."
3.5,"Upahara Sagar is a decent South Indian restaurant in KR Road. ItÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâs a typical Darshini style restaurant with ample varieties of south Indian dishes and some minimal north Indian dishes for lunch & dinner. I have been to this restaurant a couple of time for breakfast and lunch and impressed with the food quality and taste!During my visits taste was consistent with zero complaints and most of the dishes they serve in breakfast menu are quite decent without burning your pockets. There is no point of mentioning about particular dishes to try here, everything is virtuous. ItÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâs a self-service restaurant with a couple of tables & chairs to sit and eat.There is nothing special about ambience here; it looks similar to other DarshiniÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâs in Bangalore.If you are in KR road donÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåâÌÄåÄÌÄåât think out for second thought, do visit this restaurant for breakfast!Overall:Quality: 3.5/5Taste: 3.5/5Ambiance: 3.5/5VFM: 4/5bangaloreepicure.com"
4,"Do you like?on your?spicy tandoori non-veg gravies? Then this is the place to order. Tongue searing spicy chicken tikka gravy satisfied my tongue but my tummy? I will know later ? Actually both me and my mom are to blame as we like to eat the gravy by itself...no rice roti ya ragi. Lots of green chilli roundels were the culprits but the gravy would have been ok with naan or fried rice. Anyway, we enjoyed waking up ? our tongues.We had ordered chicken manchow soup which was average, did not like it that there was capsicum in it.Food was not oily which was good and it was delivered real quick so food was piping hot."
4,Dish :1. Neer Dose and Fish CurryTaste : 4.5 / 52. Anjal Rava FryTaste : 3.5 / 53. Prawns Pepper DryTaste : 4.5 / 5Place : Kadalu ( vijaynagar )Ambience : 3/5Service : 4 / 5Value for money : 3.8 / 5Had bookmarked ths place since so long n finally decided to visit.... My first impression after reaching the place was should i really try here ? Will the food be tasty ?... It was completely empty with just 2 staffs... Later i thght lemme give a try... Neer dose was soft and fish curry was so awesome with mild spices n balance of flavours ( perfect combination though) ... Anjal rava fry was perfectly coated in rava n deep fried... But i felt it could have been spicier ...prawns pepper dry was really good...Both Fish and the prawns were fresh n cooked to perfection.... Ambience was just ok nothing great.. Service was quick and i felt it was lil pricey for the Rava fish fry... Overall it was really satisfying... It is definitely a must try ??
4,"Try this place for some good milkshakes, Ice cream jar and the newly introduced waffles!? a perfect place to visit in evening and late night. Nutty chocolate is the best amongst all other shakes! Have been ordering it through zomato with no complaints till now? seating arrangements in all outlets would make it a perfect place!"
